Name;PriorityCh1;PriorityCh2;TXDesignatedCh;SignHoldTime;PrioSamplTime;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16;ChannelMember17;ChannelMember18;ChannelMember19;ChannelMember20;ChannelMember21;ChannelMember22;ChannelMember23;ChannelMember24;ChannelMember25;ChannelMember26;ChannelMember27;ChannelMember28;ChannelMember29;ChannelMember30;ChannelMember31
Zona 0;selected;selected;none;20;8;IR0AAC-Italia;IR0DS-Italia;IR0EF-Italia;IR0UAP-Italia;IR0UAS-Italia;IR0UBK-Italia;IR0UCY-Italia;IR0UDB-Italia;IR0UDY-Italia;IR0UEI-Italia;IR0UEJ-Italia;IR0UGF-Italia;IR0UGG-Italia;IR0UGL-Italia;IR0UGR-Italia;IR0UGZ-Italia;IR0UN-Italia;IU0DLI-Italia;IU0DZJ-Italia;IW0DSR-Italia;IW0RQJ-Italia;IZ0PAP-Italia;IZ0RIM-Italia;IZ0RIN-Italia;;;;;;;
Zona 1;selected;selected;none;20;8;IK1VDI-Italia;IK1WHN-Italia;IR1CT-Italia;IR1DF-Italia;IR1UB-Italia;IR1UBR-Italia;IR1UBY-Italia;IR1UDQ-Italia;IR1UDT-Italia;IR1UGE-Italia;IR1UGF-Italia;IR1UGO-Italia;IR1UHD-Italia;IR1UHO-Italia;IR1UHT-Italia;IR1UIP-Italia;IR1UIQ-Italia;IR1UIV-Italia;IR1UIW-Italia;IW1BZH-Italia;IW1GBM-Italia;IW1PSC-Italia;IW1PUR-Italia;IX1VKK-Italia;IZ1FHG-Italia;IZ1HIQ-Italia;IZ1MAU-Italia;IZ1MLT-Italia;IZ1NHA-Italia;IZ1ZPJ-Italia;
Zona 2;selected;selected;none;20;8;IR2UBG-Italia;IR2CL-Italia;IR2CT-Italia;IR2UB-Italia;IR2UDK-Italia;IR2UDS-Italia;IR2UDZ-Italia;IR2UEW-Italia;IR2UFO-Italia;IR2UFZ-Italia;IR2UGV-Italia;IU2BEE-Italia;IU2CIQ-Italia;IU2HAW-Italia;IW2KYI-Italia;IZ2QCP-Italia;;;;;;;;;;;;;;;
Zona 3;selected;selected;none;20;8;IK3DNV-Italia;IN3CBN-Italia;IN3ELZ-Italia;IN3XFQ-Italia;IQ3DD-Italia;IQ3VN-Italia;IQ3VO-Italia;IR3AO-Italia;IR3UBL-Italia;IR3UCN-Italia;IR3UDD-Italia;IR3UFS-Italia;IR3UGT-Italia;IR3UGZ-Italia;IR3UHF-Italia;IR3UHL-Italia;IR3UIG-Italia;IR3UII-Italia;IR3UIJ-Italia;IR3UIM-Italia;IR3UIZ-Italia;IR3UN-Italia;IW3GPO-Italia;IW3IHV-Italia;IZ3ALE-Italia;;;;;;
Zona 4;selected;selected;none;20;8;IQ4EV-Italia;IR4S-Italia;IR4UBO-Italia;IR4UCJ-Italia;IR4UCK-Italia;IR4UX-Italia;;;;;;;;;;;;;;;;;;;;;;;;;
Zona 5;selected;selected;none;20;8;IK5BNG-Italia;IK5WJG-Italia;IK5XMK-Italia;IQ5QE-Italia;IR5AAG-Italia;IR5AR-Italia;IR5UCL-Italia;IR5UCT-Italia;IR5UDK-Italia;IR5UDN-Italia;IR5YZV-Italia;IU5AVW-Italia;IZ5CMC-Italia;IZ5IGB-Italia;IZ5TIY-Italia;;;;;;;;;;;;;;;;
Zona 6;selected;selected;none;20;8;IK6DIO-Italia;IK6PRN-Italia;IK6QOO-Italia;IR6UBA-Italia;IR6UBJ-Italia;IR6UCD-Italia;IR6UCG-Italia;IR6UCI-Italia;IR6UCU-Italia;IR6UCW-Italia;IR6UCX-Italia;IR6UDB-Italia;IR6UDD-Italia;IR6UDE-Italia;IR6UDF-Italia;IR6UDH-Italia;IR6UDL-Italia;IR6UDM-Italia;IR6UDV-Italia;IR6UF-Italia;IR6UI-Italia;IR6UK-Italia;IW6DRY-Italia;IZ6BGQ-Italia;IZ6MAF-Italia;IZ6YLJ-Italia;;;;;
Zona 7;selected;selected;none;20;8;IK7EZM-Italia;IK7XIW-Italia;IR7AZ-Italia;IR7BH-Italia;IR7BL-Italia;IR7UBU-Italia;IR7UC-Italia;IR7UCH-Italia;IR7UE-Italia;IR7XXX-Italia;IW7DBM-Italia;IW7DIG-Italia;IW7DZR-Italia;IZ7AUH-Italia;IZ7DOS-Italia;IZ7ECT-Italia;IZ7ELR-Italia;IZ7JRR-Italia;IZ7JWR-Italia;IZ7SKY-Italia;IZ7UJZ-Italia;IZ7ZHD-Italia;;;;;;;;;
Zona 8;selected;selected;none;20;8;IK8SYZ-Italia;IK8WCQ-Italia;IR8UCN-Italia;IU8BPS-Italia;IU8FCQ-Italia;IW8RMN-Italia;IZ8CSD-Italia;IZ8QIG-Italia;;;;;;;;;;;;;;;;;;;;;;;
Zona 9;selected;selected;none;20;8;IQ9YO-Italia;IR9UBT-Italia;IR9UBU-Italia;IR9UNZ-Italia;IT9BFB-Italia;IT9BWU-Italia;IT9CNT-Italia;IT9GNC-Italia;IT9UUT-Italia;IT9ZQL-Italia;IW9CRG-Italia;IW9GDC-Italia;IW9GRL-Italia;;;;;;;;;;;;;;;;;;
Analog;selected;selected;none;20;8;433.400A ISO;433.425A ISO;433.450A ISO;433.475A ISO;433.500A ISO;433.525A ISO;433.550A ISO;433.575A ISO;;;;;;;;;;;;;;;;;;;;;;;
